종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"017800","현대엘리베이","79.00","2061900","2101400","0.45"
"361610","SK아이이테크놀로지","22.00","1900800","2101000","0.45"
"300720","한일시멘트","153.00","2065500","2096100","0.45"
"241560","두산밥캣","71.00","2037700","2094500","0.45"
"316140","우리금융지주","176.00","2050400","2094400","0.45"
"010780","아이에스동서","54.00","2087100","2092500","0.45"
"105630","한세실업","123.00","2011050","2091000","0.45"
"103140","풍산","85.00","2018750","2082500","0.44"
"298020","효성티앤씨","6.00","2040000","2073000","0.44"
"006650","대한유화","16.00","1976000","2064000","0.44"
"271940","일진하이솔루스","65.00","2018250","2063750","0.44"
"001120","LX인터내셔널","64.00","2025600","2041600","0.43"
"336260","두산퓨얼셀","69.00","1983750","2035500","0.43"
"259960","크래프톤","9.00","2002500","2034000","0.43"
"012450","한화에어로스페이스","44.00","2065800","2024000","0.43"
"047050","포스코인터내셔널","107.00","1990200","2006250","0.43"
"016380","KG스틸","150.00","1950000","2002500","0.43"
"009900","명신산업","122.00","1945900","1988600","0.42"
"178920","PI첨단소재","59.00","1888000","1988300","0.42"
"241590","화승엔터프라이즈","169.00","1943500","1985750","0.42"
"096770","SK이노베이션","11.00","1952500","1985500","0.42"
"001230","동국제강","148.00","1901800","1975800","0.42"
"039130","하나투어","37.00","1927700","1972100","0.42"
"000990","DB하이텍","40.00","1920000","1952000","0.42"
"323410","카카오뱅크","63.00","1855350","1927800","0.41"
"032350","롯데관광개발","163.00","1915250","1923400","0.41"
"377300","카카오페이","30.00","1824000","1917000","0.41"
"298050","효성첨단소재","5.00","1852500","1890000","0.40"
"352820","하이브","12.00","1704000","1800000","0.38"
"KRD010010001","원화예금",,,"-215037","-0.05"
