단축코드,한글종목명,한글종목약명,상장일,기초지수명
219390,KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),KBSTAR 미국S&P원유생산기업(합성 H),2015/06/02,S&P Oil & Gas Exploration & Production Select Industry Index(PR)
354240,KB KBSTAR 미국고정배당우선증권ICE TR증권상장지수투자신탁(주식혼합),KBSTAR 미국고정배당우선증권ICE TR,2020/05/19,ICE BofAML Core Plus Fixed Rate Preferred Securities Index
368590,KB KBSTAR 미국나스닥100증권상장지수투자신탁(주식),KBSTAR 미국나스닥100,2020/11/06,NASDAQ 100
437350,KB KBSTAR 미국단기투자등급회사채액티브증권상장지수투자신탁(채권),KBSTAR 미국단기투자등급회사채액티브,2022/07/29,Bloomberg US Corporate 1-5 Years Total Return Index
267440,KB KBSTAR 미국장기국채선물증권상장지수투자신탁(채권-파생형)(H),KBSTAR 미국장기국채선물(H),2017/04/20,S&P U.S. Treasury Bond Futures Excess Return Index
388420,KB KBSTAR 비메모리반도체액티브증권상장지수투자신탁(주식),KBSTAR 비메모리반도체액티브,2021/06/10,iSelect 비메모리반도체 지수(시장가격지수)
140570,KB KBSTAR 수출주증권상장지수투자신탁(주식),KBSTAR 수출주,2011/04/15,MKF 수출주 지수
140580,KB KBSTAR 우량업종대표주증권상장지수투자신탁(주식),KBSTAR 우량업종,2011/04/15,MKF 우량업종대표주 지수
379790,KB KBSTAR 유로스탁스50증권상장지수투자신탁(주식)(H),KBSTAR 유로스탁스50(H),2021/04/09,EURO STOXX 50 Index
183710,KB KBSTAR 주식혼합증권상장지수투자신탁(주식혼합-파생형),KBSTAR 주식혼합,2013/10/17,주식국채혼합(주식형)지수
310080,KB KBSTAR 중국MSCI China증권상장지수투자신탁(주식)(H),KBSTAR 중국MSCI China(H),2018/11/28,MSCI China NTR Index(USD) (Net Total Return)
174360,KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),KBSTAR 중국본토대형주CSI100,2013/06/04,CSI 100
136340,KB KBSTAR 중기우량회사채증권상장지수투자신탁(채권),KBSTAR 중기우량회사채,2011/04/15,KOBI 크레딧 지수(총수익)
281990,KB KBSTAR 중소형고배당증권상장지수투자신탁(주식),KBSTAR 중소형고배당,2017/11/02,FnGuide 중소형고배당포커스 지수
272570,KB KBSTAR 중장기국공채액티브증권상장지수투자신탁(채권),KBSTAR 중장기국공채액티브,2017/06/29,KIS 종합채권국공채4~5Y지수
250730,KB KBSTAR 차이나HSCEI증권상장지수투자신탁(주식)(H),KBSTAR 차이나HSCEI(H),2016/08/10,Hang Seng China H
371150,KB KBSTAR 차이나항셍테크증권상장지수투자신탁(주식),KBSTAR 차이나항셍테크,2020/12/16,Hang Seng TECH Index
183700,KB KBSTAR 채권혼합증권상장지수투자신탁(채권혼합-파생형),KBSTAR 채권혼합,2013/10/17,주식국채혼합(채권형)지수
270810,KB KBSTAR 코스닥150증권상장지수투자신탁(주식),KBSTAR 코스닥150,2017/06/16,코스닥 150
302450,KB KBSTAR 코스피증권상장지수투자신탁(주식),KBSTAR 코스피,2018/07/24,코스피
334690,KB KBSTAR 팔라듐선물특별자산상장지수투자신탁(파생형)(H),KBSTAR 팔라듐선물(H),2019/09/24,S&P GSCI Palladium Excess Return Index
253280,KB KBSTAR 헬스케어증권상장지수투자신탁(주식),KBSTAR 헬스케어,2016/09/23,FnGuide 헬스케어 지수
253290,KB KBSTAR 헬스케어채권혼합증권상장지수투자신탁(채권혼합),KBSTAR 헬스케어채권혼합,2016/09/23,FnGuide 헬스케어 채권혼합 지수
