단축코드,상장주식수
068400,47285840.0
060150,46563612.0
002390,13763533.0
263690,11325610.0
034830,252489230.0
241770,10192640.0
204320,46957120.0
068930,29800739.0
078150,78990426.0
004410,374755559.0
190510,15196341.0
000150,16523835.0
129260,29747874.0
001270,10369886.0
003830,1328000.0
062970,9308185.0
013120,90808100.0
005870,14116015.0
023910,6000000.0
335890,58133344.0
074000,0.0
211270,15082304.0
272210,188919389.0
084650,33991623.0
088980,404845547.0
396690,29060000.0
004450,2154379.0
322000,11200000.0
111110,9749984.0
027830,40000000.0
302430,9833208.0
004870,109472167.0
138920,0.0
314930,6168195.0
071840,23607712.0
280360,9434574.0
095190,42581037.0
011790,37868298.0
049960,9400000.0
230980,63154559.0
217480,22415066.0
330590,242968884.0
294570,10091685.0
104110,0.0
035900,35497492.0
120115,2767860.0
145020,12385455.0
091170,0.0
293490,82234417.0
002210,26100970.0
381970,48086533.0
068790,24573061.0
004740,0.0
000060,116802000.0
378850,18993623.0
148150,11784281.0
023590,44866617.0
007120,139417924.0
004090,12694120.0
348950,197376000.0
068760,37685717.0
013890,17232431.0
005030,68464703.0
003280,240424899.0
044380,59199244.0
017940,6860000.0
057050,12000000.0
122900,33428840.0
096760,70444706.0
019490,9611224.0
111710,20588000.0
115160,43941389.0
030200,261111808.0
016170,0.0
006805,14075750.0
207760,24883305.0
117670,26917635.0
011930,205848151.0
005950,27959544.0
263750,64235855.0
064800,83747117.0
054450,13855911.0
226950,13703160.0
155660,16000000.0
004830,15680000.0
102110,0.0
404990,55955884.0
035420,164049085.0
070960,48133333.0
282880,9750373.0
143850,0.0
008770,39248121.0
036800,10000000.0
365780,0.0
061970,43784592.0
001210,24346191.0
092200,38888569.0
251350,0.0
091700,58918214.0
003940,0.0
178920,29366322.0
002550,0.0
030520,25203830.0
126870,35639398.0
004940,0.0
004960,11570702.0
152380,0.0
001120,38760000.0
039570,25957601.0
335810,11575726.0
012340,30044502.0
003350,4532000.0
045100,18000000.0
194700,18754848.0
011690,159235637.0
278280,10000000.0
079550,22000000.0
025000,4840000.0
005160,54244482.0
023530,28288755.0
065510,11882871.0
246690,39245879.0
218410,26786434.0
042100,0.0
000830,0.0
030000,115041225.0
237690,18808775.0
039340,23000000.0
000680,78803016.0
081000,14202975.0
377190,64400000.0
011330,72921381.0
000030,0.0
139130,169145833.0
001370,0.0
071950,30907210.0
002350,97667877.0
110990,18900000.0
052220,23000000.0
038290,10841400.0
246960,5422043.0
078140,11086579.0
016600,178247112.0
200670,9971194.0
002620,15973355.0
046120,27068824.0
215200,11861880.0
009580,62368324.0
092440,29200000.0
090850,23746361.0
400760,42200000.0
217730,37937925.0
072020,9960000.0
004910,12800000.0
020760,51513741.0
005930,5969782550.0
214370,10743000.0
103150,0.0
016420,0.0
018470,125831721.0
065570,10794010.0
005380,213668187.0
051500,11871586.0
004380,21000000.0
214150,64776702.0
000970,22800500.0
214260,8617416.0
044450,23085880.0
083550,11251616.0
066980,45069982.0
045390,70473377.0
028100,14052646.0
253450,30014185.0
377030,19570882.0
282690,13733015.0
055490,4717650.0
011500,15637042.0
287410,71299472.0
207940,71174000.0
100790,48480361.0
003220,21842836.0
099190,13753738.0
004550,0.0
005180,9851241.0
078000,9702706.0
106240,45192369.0
194480,11829660.0
376300,21977166.0
347770,7575065.0
050110,73824118.0
001510,472590171.0
053300,41776331.0
011000,77751599.0
263050,36758355.0
267270,19700793.0
373220,234000000.0
100250,55895292.0
016450,40000000.0
059210,23862351.0
336370,35111195.0
001880,22053284.0
003460,56702415.0
289080,53234000.0
065160,0.0
092230,4224646.0
204620,51719642.0
174360,0.0
149980,14104020.0
000480,4000000.0
005300,9278884.0
000220,17232351.0
114820,0.0
021240,73799619.0
003640,0.0
008060,33890150.0
298040,9324548.0
067280,5926779.0
110570,0.0
034020,638308033.0
094280,11558200.0
011560,10530000.0
011090,59991641.0
005010,39188075.0
189330,6027284.0
317330,18377428.0
021050,47474590.0
270520,31208908.0
003200,2400000.0
001740,248187647.0
417310,40400000.0
145990,10313449.0
003600,0.0
060980,10472070.0
048530,34150762.0
102280,262592129.0
032300,10906701.0
288620,6874316.0
005940,331665921.0
103140,28024278.0
016880,79927080.0
007190,0.0
060230,19777794.0
024720,18576719.0
004700,6649138.0
065620,0.0
214870,31389053.0
375500,38693623.0
144510,15800344.0
028260,186887081.0
241590,60580511.0
001750,12728534.0
120110,27519091.0
005070,30650756.0
001620,87286004.0
289670,0.0
326030,78313250.0
068270,140791866.0
251970,12400000.0
039860,26807627.0
071090,20191471.0
073540,11400000.0
243840,7763229.0
265520,15281421.0
035620,74439675.0
000080,70133611.0
004970,16000000.0
012170,80509196.0
395400,196554079.0
014440,20000000.0
005935,822886700.0
035810,65145845.0
025540,10415000.0
023960,31249355.0
035150,24335000.0
053660,0.0
122870,18638309.0
302450,0.0
036490,0.0
079430,20535282.0
005750,16672240.0
019590,81563858.0
058430,6000000.0
016800,11500000.0
005610,8629009.0
028670,534569512.0
035610,27345997.0
002900,152353747.0
007460,760975567.0
112610,42171403.0
192440,6216363.0
036540,164460303.0
138080,10624095.0
073070,0.0
048870,80427394.0
025900,20203553.0
144960,43692624.0
214180,13257185.0
183490,14048013.0
022100,152034729.0
051380,7670036.0
006390,17774535.0
030720,4653805.0
005820,2297970.0
001130,1690000.0
344820,15970512.0
361390,7500789.0
007160,5000000.0
002020,12626426.0
069410,10244824.0
005830,70800000.0
038070,8500676.0
228670,13306534.0
023150,7378526.0
267260,36047135.0
039840,15881755.0
049770,3859124.0
003850,68690000.0
009770,2499971.0
025530,14934008.0
214980,0.0
039440,15830000.0
064760,11675000.0
257370,7726156.0
225060,0.0
402340,141467571.0
321820,6908282.0
096040,641131295.0
081660,60752222.0
234080,15834554.0
012800,91140499.0
011720,0.0
001045,2260223.0
275280,0.0
005980,0.0
017180,33953454.0
005960,22874450.0
041520,12188730.0
251370,16314464.0
092040,19754708.0
092460,17617467.0
181480,0.0
049080,79243240.0
117930,0.0
154030,11120839.0
009830,191278497.0
083930,15412798.0
037620,0.0
074430,87826844.0
