단축코드,시작날짜,상장좌수
433860,20220801,750000
433870,20220801,750000
433880,20220801,750000
433970,20220801,1300000
433980,20220801,750000
434060,20220801,750000
434730,20220701,1100000
434960,20220701,1000000
435040,20220701,1100000
435420,20220801,1450000
435530,20220801,750000
435540,20220801,750000
435550,20220801,750000
436180,20220801,750000
437350,20220801,8300000
437370,20220801,800000
437550,20220801,750000
69500,20021101,164400000
69660,20021101,11300000
91160,20060703,7700000
91170,20060703,30000000
91180,20060703,38700000
91220,20060703,1560000
91230,20060703,4380000
98560,20071001,540000
99140,20071101,2900000
