종목코드,유동자산,자산총계,유동부채,부채총계,결산기준일
205500,18765653732.0,23562027395.0,2488898475.0,7601064402.0,2021-09-30
52790,224386742138.0,306301984754.0,114318890908.0,118016945590.0,2021-09-30
255440,93217572961.0,190783702335.0,24768080834.0,30496383058.0,2021-09-30
60230,54410668684.0,93829920260.0,7885096216.0,18018751386.0,2021-09-30
102120,91144802791.0,125583997040.0,16217900920.0,18725523455.0,2021-09-30
19990,22536522424.0,48892202973.0,1985641630.0,5560450466.0,2021-09-30
11090,75910592502.0,120420086411.0,62605083066.0,68615094512.0,2021-09-30
38680,155163249870.0,210031815831.0,104573853690.0,136876217611.0,2021-09-30
137310,2437471122393.0,2756262553483.0,597450486714.0,615668522236.0,2021-09-30
217480,72618571800.0,157250593614.0,87414039119.0,105178386992.0,2021-09-30
97780,209946261824.0,485567919289.0,100751832988.0,108431866428.0,2021-09-30
101490,99319239820.0,198488462446.0,19736330196.0,26506659505.0,2021-09-30
95910,218131983855.0,351856865768.0,142575590113.0,192527042277.0,2021-09-30
31330,604103313195.0,658157500262.0,353166250511.0,360333432402.0,2021-09-30
56190,1035850313690.0,1831103182486.0,345662921556.0,480374089888.0,2021-09-30
5850,1567734040846.0,2525672064928.0,844635163696.0,977180108579.0,2021-09-30
41510,691227997190.0,1179241255887.0,358726734947.0,466828085277.0,2021-09-30
7820,69523935212.0,90663844407.0,18017622203.0,21596082285.0,2021-09-30
109610,202308836348.0,378036942245.0,164977588099.0,206546976629.0,2021-09-30
12750,854733967526.0,1950391014659.0,392739507144.0,521673123286.0,2021-09-30
306040,99537134665.0,147367196932.0,23849023553.0,49160736368.0,2021-09-30
123700,158977538301.0,242138717381.0,28443641602.0,49702595337.0,2021-09-30
25530,189252235334.0,327288814750.0,36917241867.0,60399083712.0,2021-09-30
326030,452062245505.0,523357214609.0,83938476485.0,127261638397.0,2021-09-30
96630,92829999299.0,160460207606.0,88985599415.0,108895975628.0,2021-09-30
69510,178267754384.0,223671417395.0,59229376248.0,63403228530.0,2021-09-30
41910,76395954890.0,125670889998.0,6882069763.0,8342257029.0,2021-09-30
39440,154576655956.0,262029706704.0,72447650153.0,78061064083.0,2021-09-30
52020,27981346509.0,32184961603.0,3909800940.0,8223937701.0,2021-09-30
237690,246369187687.0,487306304684.0,45899462391.0,179477308452.0,2021-09-30
288620,99613190237.0,119391336602.0,44776350986.0,53254481391.0,2021-09-30
58610,237824472630.0,344079155697.0,140459111244.0,162775821047.0,2021-09-30
23960,19648799577.0,96330089464.0,30669321142.0,53981441786.0,2021-09-30
200710,153990116743.0,229458640330.0,60398821164.0,65556448004.0,2021-09-30
78520,122386908376.0,208350368360.0,63873992151.0,84988022210.0,2021-09-30
203400,42370745596.0,47575272114.0,27624176124.0,28917813987.0,2021-09-30
195990,75056547379.0,168664205433.0,29691873972.0,29989295341.0,2021-09-30
3800,128453684741.0,620243652859.0,64360403059.0,74561916314.0,2021-09-30
88800,223603354535.0,384045504786.0,229811483169.0,295906308363.0,2021-09-30
241840,84597105006.0,99030873440.0,47760809860.0,57597054508.0,2021-09-30
72990,25631469741.0,90028570301.0,19442851969.0,24138443758.0,2021-09-30
28300,210859000743.0,694879683684.0,78879954669.0,134779747311.0,2021-09-30
67630,207300846739.0,333100694638.0,7287395204.0,30170630319.0,2021-09-30
239610,77425255403.0,112795141200.0,7207162951.0,8329637309.0,2021-09-30
230980,42561789780.0,78270664040.0,35366882867.0,45095523221.0,2021-09-30
262260,54059416030.0,78705208999.0,24972458079.0,25348702665.0,2021-09-30
7460,479238499937.0,826667127753.0,110123024350.0,118075780475.0,2021-09-30
3060,349106699940.0,611144807156.0,7716436291.0,15707493542.0,2021-09-30
244920,127235670148.0,281125786059.0,61377363873.0,153897400773.0,2021-09-30
89970,131153579235.0,142286625364.0,28906997212.0,31991991572.0,2021-09-30
230240,111705660560.0,177544262331.0,78483853519.0,97218066280.0,2021-09-30
230360,176539185664.0,251446428974.0,69257134204.0,86646926722.0,2021-09-30
38870,28754637502.0,98976188728.0,26199663970.0,26199663970.0,2021-09-30
86520,950951838596.0,1961497029748.0,579917466904.0,1237617860674.0,2021-09-30
247540,617407624312.0,1241167582397.0,422695344776.0,694327148227.0,2021-09-30
383310,71729585026.0,114509095708.0,46991773036.0,55077589825.0,2021-09-30
73540,17832994195.0,82943876682.0,22685764376.0,32600424146.0,2021-09-30
64850,20338260676.0,63046520185.0,7490150131.0,12257669895.0,2021-09-30
36810,106087192624.0,320554056314.0,66979179506.0,109810945369.0,2021-09-30
173940,64795766268.0,135389336699.0,25417041561.0,84204818380.0,2021-09-30
67570,384710480922.0,942275394696.0,484481499771.0,662940611479.0,2021-09-30
236810,36533273348.0,50791913214.0,11325354454.0,11569082778.0,2021-09-30
36570,2476849574713.0,4456807430562.0,524008160826.0,1330080990017.0,2021-09-30
217820,82196737148.0,107659060791.0,53820313768.0,56933313768.0,2021-09-30
138250,165385709948.0,1114065766077.0,518855043396.0,722700836136.0,2021-09-30
181710,1357210291761.0,2860095327584.0,639488399071.0,794916295793.0,2021-09-30
183490,120451354061.0,140034235669.0,13117091414.0,57679462107.0,2021-09-30
85310,77159085842.0,123159569503.0,23793961387.0,29988689971.0,2021-09-30
182400,40908050937.0,194795906858.0,42140795479.0,72491431869.0,2021-09-30
9810,43088207883.0,69877672080.0,6393791474.0,7206921141.0,2021-09-30
69410,42866863847.0,59888107957.0,9361786196.0,9994393246.0,2021-09-30
4250,160269089586.0,492150579374.0,134085963929.0,175577700954.0,2021-09-30
61970,233133238192.0,673483999024.0,195194919717.0,342559877708.0,2021-09-30
138690,89942672070.0,204521686015.0,173087960009.0,176855775467.0,2021-09-30
290650,36761058081.0,93184398064.0,8587535111.0,12989742648.0,2021-09-30
66970,914527206304.0,1291177360401.0,319968792507.0,571972885954.0,2021-09-30
156100,45558549945.0,68732860076.0,22494165271.0,38252556053.0,2021-09-30
10120,1888591316260.0,2778456312844.0,776669183668.0,1319414459897.0,2021-09-30
83310,144836130273.0,257359136095.0,50076883040.0,60430298793.0,2021-09-30
37950,14274704552.0,65813918228.0,4749471370.0,8899256771.0,2021-09-30
58630,43830605465.0,73143979820.0,6838579392.0,11307063627.0,2021-09-30
58970,26951158138.0,48571879720.0,5045546773.0,7541917220.0,2021-09-30
97520,294731827537.0,509395905987.0,211897132888.0,231853031466.0,2021-09-30
123040,573583410443.0,1270283538354.0,571598390634.0,941443690042.0,2021-09-30
33160,263829791764.0,2127981438236.0,346417692734.0,1113101180683.0,2021-09-30
33310,72624824882.0,241946554328.0,56277387257.0,63968030403.0,2021-09-30
259630,105904555192.0,145639804664.0,69564311866.0,91145586043.0,2021-09-30
115960,101599110511.0,296208040709.0,39770717414.0,58069849078.0,2021-09-30
14440,73050238106.0,175573455369.0,22763316732.0,23486691055.0,2021-09-30
111770,1895347383767.0,3410810747836.0,498550435996.0,1033110935170.0,2021-09-30
9970,2371379222918.0,4095705969858.0,522661124418.0,1050390589451.0,2021-09-30
670,1783413884062.0,5366623633224.0,929501733714.0,1498387294274.0,2021-09-30
